Symbol,GICS Sector,GICS Sub-Industry
YI,Health Care,Medical/Nursing Services
PIH,Finance,Property-Casualty Insurers
PIHPP,Finance,Property-Casualty Insurers
TURN,Finance,Finance/Investors Services
FLWS,Consumer Services,Other Specialty Stores
BCOW,Finance,Banks
FCCY,Finance,Savings Institutions
SRCE,Finance,Major Banks
VNET,Technology,"Computer Software: Programming, Data Processing"
TWOU,Technology,Computer Software: Prepackaged Software
QFIN,Finance,Finance: Consumer Services
TPNL,Miscellaneous,Business Services
JOBS,Technology,Diversified Commercial Services
EGHT,Technology,EDP Services
AAON,Capital Goods,Industrial Machinery/Components
ABEO,Health Care,Major Pharmaceuticals
ABEOW,Health Care,Major Pharmaceuticals
ABIL,Consumer Durables,Telecommunications Equipment
ABMD,Health Care,Medical/Dental Instruments
AXAS,Energy,Oil & Gas Production
ACIU,Health Care,Major Pharmaceuticals
ACIA,Technology,Semiconductors
ACTG,Miscellaneous,Multi-Sector Companies
ACHC,Health Care,Medical Specialities
ACAD,Health Care,Major Pharmaceuticals
ACST,Health Care,Major Pharmaceuticals
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Health Care,Medical/Dental Instruments
ACRX,Health Care,Major Pharmaceuticals
ACER,Health Care,Major Pharmaceuticals
ACET,Health Care,Other Pharmaceuticals
AKAO,Health Care,Major Pharmaceuticals
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,Health Care,Major Pharmaceuticals
ACIW,Technology,Computer Software: Prepackaged Software
ACRS,Health Care,Major Pharmaceuticals
ACMR,Technology,Industrial Machinery/Components
ACNB,Finance,Major Banks
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,Technology,Computer Software: Prepackaged Software
ADMS,Health Care,Major Pharmaceuticals
ADMP,Health Care,Major Pharmaceuticals
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Health Care,Medical/Nursing Services
AEY,Consumer Services,Office Equipment/Supplies/Services
IOTS,Technology,Semiconductors
ADIL,Health Care,Major Pharmaceuticals
ADILW,Health Care,Major Pharmaceuticals
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Technology,Computer Software: Prepackaged Software
ADOM,Capital Goods,Auto Parts:O.E.M.
ADTN,Public Utilities,Telecommunications Equipment
ADRO,Health Care,Major Pharmaceuticals
ADES,Basic Industries,Major Chemicals
AEIS,Capital Goods,Industrial Machinery/Components
AMD,Technology,Semiconductors
ADXS,Health Care,Major Pharmaceuticals
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,n/a,n/a
DWSH,n/a,n/a
BKCH,n/a,n/a
ACT,n/a,n/a
AEGN,Basic Industries,Water Supply
AGLE,Health Care,Major Pharmaceuticals
AEHR,Capital Goods,Electrical Products
AMTX,Basic Industries,Major Chemicals
AERI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,Capital Goods,Aerospace
ARPO,Health Care,Major Pharmaceuticals
AEZS,Health Care,Major Pharmaceuticals
AEMD,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Health Care,Major Pharmaceuticals
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,Health Care,Major Pharmaceuticals
AGYS,Technology,EDP Services
AGIO,Health Care,Major Pharmaceuticals
AGMH,Technology,EDP Services
AGNC,Consumer Services,Real Estate Investment Trusts
AGNCB,Consumer Services,Real Estate Investment Trusts
AGNCN,Consumer Services,Real Estate Investment Trusts
AGFS,Finance,Business Services
AGFSW,Finance,Business Services
ALRN,Health Care,Major Pharmaceuticals
AIMT,Health Care,Major Pharmaceuticals
AIRT,Transportation,Air Freight/Delivery Services
ATSG,Transportation,Air Freight/Delivery Services
AIRG,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,Technology,Advertising
AKAM,Miscellaneous,Business Services
AKTX,Health Care,Major Pharmaceuticals
AKCA,Health Care,Major Pharmaceuticals
AKBA,Health Care,Major Pharmaceuticals
AKER,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,Health Care,Major Pharmaceuticals
AKTS,Public Utilities,Telecommunications Equipment
ALRM,Technology,Computer Software: Prepackaged Software
ALSK,Public Utilities,Telecommunications Equipment
ALAC,Finance,Business Services
ALACR,Finance,Business Services
ALACU,Finance,Business Services
ALACW,Finance,Business Services
ALBO,Health Care,Major Pharmaceuticals
ABDC,n/a,n/a
ALDR,Health Care,Major Pharmaceuticals
ALDX,Health Care,Major Pharmaceuticals
ALEC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXN,Health Care,Major Pharmaceuticals
ALCO,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,Health Care,Industrial Specialties
ALIM,Health Care,Major Pharmaceuticals
ALYA,Technology,"Computer Software: Programming, Data Processing"
ALJJ,Miscellaneous,Business Services
ALKS,Health Care,Major Pharmaceuticals
ALLK,Health Care,Major Pharmaceuticals
ABTX,Finance,Major Banks
ALGT,Transportation,Air Freight/Delivery Services
ALGR,Finance,Business Services
ALGRR,Finance,Business Services
ALGRU,Finance,Business Services
ALGRW,Finance,Business Services
ALNA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARLP,Energy,Coal Mining
LNT,Public Utilities,Power Generation
AHPI,Health Care,Industrial Specialties
AMOT,Capital Goods,Electrical Products
ALQA,Health Care,Medical/Dental Instruments
ALLO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Technology,Computer Communications Equipment
MDRX,Technology,EDP Services
ALNY,Health Care,Major Pharmaceuticals
AOSL,Technology,Semiconductors
GOOG,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Technology,"Computer Software: Programming, Data Processing"
SMCP,n/a,n/a
ATEC,Health Care,Medical/Dental Instruments
ALPN,Health Care,Major Pharmaceuticals
AMR,Energy,Oil & Gas Production
AMRWW,Energy,Oil & Gas Production
AABA,Technology,EDP Services
ALTR,Technology,Computer Software: Prepackaged Software
ALT,Health Care,Major Pharmaceuticals
ASPS,Consumer Services,Other Consumer Services
AIMC,Capital Goods,Industrial Machinery/Components
ALTM,Energy,Oil & Gas Production
AMAG,Health Care,Major Pharmaceuticals
AMAL,Consumer Non-Durables,Textiles
AMRN,Health Care,Major Pharmaceuticals
AMRK,Basic Industries,Other Specialty Stores
AMZN,Consumer Services,Catalog/Specialty Distribution
AMBC,Finance,Property-Casualty Insurers
AMBCW,Finance,Property-Casualty Insurers
AMBA,Technology,Semiconductors
AMCX,Consumer Services,Television Services
AMCI,Finance,Business Services
AMCIU,Finance,Business Services
AMCIW,Finance,Business Services
DOX,Technology,EDP Services
AMED,Health Care,Medical/Nursing Services
UHAL,Consumer Services,Rental/Leasing Companies
AMRH,Technology,Semiconductors
AMRHW,Technology,Semiconductors
ATAX,Finance,Finance: Consumer Services
AMOV,Public Utilities,Telecommunications Equipment
AAL,Transportation,Air Freight/Delivery Services
AETI,Energy,Industrial Machinery/Components
AFIN,Consumer Services,Real Estate Investment Trusts
AMNB,Finance,Major Banks
ANAT,Finance,Life Insurance
AOBC,Capital Goods,Ordnance And Accessories
APEI,Consumer Services,Other Consumer Services
AREC,Consumer Services,Other Consumer Services
AMRB,Finance,Major Banks
AMSWA,Technology,Computer Software: Prepackaged Software
AMSC,Consumer Durables,Metal Fabrications
AMWD,Basic Industries,Forest Products
CRMT,Consumer Durables,Automotive Aftermarket
ABCB,Finance,Major Banks
AMSF,Finance,Property-Casualty Insurers
ASRV,Finance,Major Banks
ASRVP,Finance,Major Banks
ATLO,Finance,Major Banks
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,Health Care,Major Pharmaceuticals
AMKR,Technology,Semiconductors
