Symbol,GICS Sector,GICS Sub-Industry
MMM,Industrials,Industrial Conglomerates
AOS,Industrials,Building Products
ABT,Health Care,Health Care Equipment
ABBV,Health Care,Biotechnology
ACN,Information Technology,IT Consulting & Other Services
ADBE,Information Technology,Application Software
AMD,Information Technology,Semiconductors
AES,Utilities,Independent Power Producers & Energy Traders
AFL,Financials,Life & Health Insurance
A,Health Care,Life Sciences Tools & Services
APD,Materials,Industrial Gases
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,Information Technology,Internet Services & Infrastructure
ALB,Materials,Specialty Chemicals
ARE,Real Estate,Office REITs
ALGN,Health Care,Health Care Supplies
ALLE,Industrials,Building Products
LNT,Utilities,Electric Utilities
ALL,Financials,Property & Casualty Insurance
GOOGL,Communication Services,Interactive Media & Services
GOOG,Communication Services,Interactive Media & Services
MO,Consumer Staples,Tobacco
AMZN,Consumer Discretionary,Broadline Retail
AMCR,Materials,Paper & Plastic Packaging Products & Materials
AEE,Utilities,Multi-Utilities
AEP,Utilities,Electric Utilities
AXP,Financials,Consumer Finance
AIG,Financials,Multi-line Insurance
AMT,Real Estate,Telecom Tower REITs
AWK,Utilities,Water Utilities
AMP,Financials,Asset Management & Custody Banks
AME,Industrials,Electrical Components & Equipment
AMGN,Health Care,Biotechnology
APH,Information Technology,Electronic Components
ADI,Information Technology,Semiconductors
ANSS,Information Technology,Application Software
AON,Financials,Insurance Brokers
APA,Energy,Oil & Gas Exploration & Production
APO,Financials,Asset Management & Custody Banks
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Information Technology,Semiconductor Materials & Equipment
APTV,Consumer Discretionary,Automotive Parts & Equipment
ACGL,Financials,Property & Casualty Insurance
ADM,Consumer Staples,Agricultural Products & Services
ANET,Information Technology,Communications Equipment
AJG,Financials,Insurance Brokers
AIZ,Financials,Multi-line Insurance
T,Communication Services,Integrated Telecommunication Services
ATO,Utilities,Gas Utilities
ADSK,Information Technology,Application Software
ADP,Industrials,Human Resource & Employment Services
AZO,Consumer Discretionary,Automotive Retail
AVB,Real Estate,Multi-Family Residential REITs
AVY,Materials,Paper & Plastic Packaging Products & Materials
AXON,Industrials,Aerospace & Defense
BKR,Energy,Oil & Gas Equipment & Services
BALL,Materials,"Metal, Glass & Plastic Containers"
BAC,Financials,Diversified Banks
BAX,Health Care,Health Care Equipment
BDX,Health Care,Health Care Equipment
BRK.B,Financials,Multi-Sector Holdings
BBY,Consumer Discretionary,Computer & Electronics Retail
TECH,Health Care,Life Sciences Tools & Services
BIIB,Health Care,Biotechnology
BLK,Financials,Asset Management & Custody Banks
BX,Financials,Asset Management & Custody Banks
BK,Financials,Asset Management & Custody Banks
BA,Industrials,Aerospace & Defense
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BSX,Health Care,Health Care Equipment
BMY,Health Care,Pharmaceuticals
AVGO,Information Technology,Semiconductors
BR,Industrials,Data Processing & Outsourced Services
BRO,Financials,Insurance Brokers
BF.B,Consumer Staples,Distillers & Vintners
BLDR,Industrials,Building Products
BG,Consumer Staples,Agricultural Products & Services
BXP,Real Estate,Office REITs
CHRW,Industrials,Air Freight & Logistics
CDNS,Information Technology,Application Software
CZR,Consumer Discretionary,Casinos & Gaming
CPT,Real Estate,Multi-Family Residential REITs
CPB,Consumer Staples,Packaged Foods & Meats
COF,Financials,Consumer Finance
CAH,Health Care,Health Care Distributors
KMX,Consumer Discretionary,Automotive Retail
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Industrials,Building Products
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Financials,Financial Exchanges & Data
CBRE,Real Estate,Real Estate Services
CDW,Information Technology,Technology Distributors
COR,Health Care,Health Care Distributors
CNC,Health Care,Managed Health Care
CNP,Utilities,Multi-Utilities
CF,Materials,Fertilizers & Agricultural Chemicals
CRL,Health Care,Life Sciences Tools & Services
SCHW,Financials,Investment Banking & Brokerage
CHTR,Communication Services,Cable & Satellite
CVX,Energy,Integrated Oil & Gas
CMG,Consumer Discretionary,Restaurants
CB,Financials,Property & Casualty Insurance
CHD,Consumer Staples,Household Products
CI,Health Care,Health Care Services
CINF,Financials,Property & Casualty Insurance
CTAS,Industrials,Diversified Support Services
CSCO,Information Technology,Communications Equipment
C,Financials,Diversified Banks
CFG,Financials,Regional Banks
CLX,Consumer Staples,Household Products
CME,Financials,Financial Exchanges & Data
CMS,Utilities,Multi-Utilities
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Information Technology,IT Consulting & Other Services
COIN,Financials,Financial Exchanges & Data
CL,Consumer Staples,Household Products
CMCSA,Communication Services,Cable & Satellite
CAG,Consumer Staples,Packaged Foods & Meats
COP,Energy,Oil & Gas Exploration & Production
ED,Utilities,Multi-Utilities
STZ,Consumer Staples,Distillers & Vintners
CEG,Utilities,Electric Utilities
COO,Health Care,Health Care Supplies
CPRT,Industrials,Diversified Support Services
GLW,Information Technology,Electronic Components
CPAY,Financials,Transaction & Payment Processing Services
CTVA,Materials,Fertilizers & Agricultural Chemicals
CSGP,Real Estate,Real Estate Services
COST,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Energy,Oil & Gas Exploration & Production
CRWD,Information Technology,Systems Software
CCI,Real Estate,Telecom Tower REITs
CSX,Industrials,Rail Transportation
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment
